光谱指数,计算公式,所需要的波段,备注
DD,(R750-R720)-(R700-R670),R670 R700 R720 R750,估算叶片中的总类胡萝卜素含量
TVI,0.5x[120x(R750-R550)-200x(R670-R550)],R550 R670 R750,表征叶片色素（叶绿素）吸收的辐射能量；注意，叶绿素浓度的增加也导致绿色反射率的降低
LCI,(R850-R710)/(R850+R680),R680 R710 R850,估算高等植物中的叶绿素含量，对叶绿素吸收引起的反射变化敏感。
mND680,(R800-R680)/(R800+R680-2 x R445),R445 R680 R800,量化叶片水平的叶绿素含量，对低含量敏感
mND705,(R750-R705)/(R750+R705-2 x R445),R445 R705 R750,量化叶片水平的叶绿素含量，对低含量敏感，比mND_{680}表现更好
PSSR,R800/R500,R800 R500,估算叶片中的类胡萝卜素含量
CRI550,1/R510-1/R550,R510 R550,足以估算叶片中的总类胡萝卜素含量
CRI700,1/R510-1/R700,R510 R700,足以估算叶片中的总类胡萝卜素含量
MCARI,[(R701-R671)-0.2*(R701-R549)]/(R701/R671),R549 R671 R701,响应叶绿素变化，估算叶绿素吸收
SAVI,(1+L)(R860-R650)/(R860+R650+L),L通常为0.5,R650 R860,用于在植被覆盖稀疏的区域调整土壤背景的影响，以更准确地估算植被量
Chlorophyll Index green(CI_{green}),R750/R550-1,R550 R750,估算植物叶片中的叶绿素含量
Chlorophyll Index Red-Edge(CI_{red-edge}),R750/R710-1,R710 R750,估算植物叶片中的叶绿素含量，尤其适用于高叶绿素含量的植物
NDVI,(R860-R650)/(R860+R650),R650 R860,响应生物量变化，适用于低到中密度植被
DVI,R860-R650,R650 R860,通过计算近红外（NIR）和红光（Red）波段的反射率差异来评估植被覆盖和生物量
ATSAVI,a(R800-aR670-b)/[(aR800+R670-ab+X(1+a^2))],R670 R800,受土壤背景影响较小，更适合估计均匀冠层
EVI,2.5(R860-R650)/(R860+6R650-7.5R470+1),R470 R650 R860,估算植被LAI、生物量和含水量，在高生物量区域提高灵敏度。
GI,R554/R677,R554 R677,估算叶片和冠层水平的生化成分和LAI
MSAVI,0.5x[2R800+1-((2R800+1)^2-8x(R800-R670))^0.5],R670 R800,比SAVI在冠层水平上对植被量的指示更敏感。
MSR,(R800/R670-1)/(R800/R670+1)^0.5,R670 R800,与植被参数的关系比RDVI更线性
MVTI1,1.2[1.2(R800-R550)-2.5(R670-R550)],R550 R670 R800,比TVI更适合估算LAI
MVTI2,{1.5[1.2(R800-R550)-2.5(R670-R550)]}/{(2R800+1)^2-[6R800-5√R670]-0.5}^0.5,R550 R670 R800,保持对LAI的敏感性，并抵抗叶绿素影响。
OSAVI,1.16(R800- R670)/(R800 + R670 + 0.16),R670 R800,类似于MSAVI，但更适用于农业应用，而MSAVI推荐用于一般目的
PSND,(R800- R470)/(R800 + R470),R470 R800,估算叶片或冠层水平的LAI和叶黄素
RDVI,(R800 - R670)/(R800 + R670)^0.5,R800 R670,适用于低到高LAI值
SPVI,0.4[3.7(R800- R670)- 1.2 |R530- R670|],R530 R670 R800,估算LAI和冠层叶绿素
TCARI,3[(R700- R670)- 0.2(R700- R550)(R700/R670)],R550 R670 R700,类似于OSAVI，但对叶绿素含量变化非常敏感，并对LAI和太阳天顶角的变化具有很强的抵抗力
SR,R860/R650,R650 R860,与NDVI相同
VARI_{green},(R550 - R650)/(R550 + R650),R550 R650,估算绿植被分数（VF），对大气效应最小敏感，误差<10%；比NDVI更适用于中到高VF值
WDRVI,(0.1R860-R650)/(0.1R860 + R650),R650 R860,估算LAI、植被覆盖、和生物量，比NDVI更好
ARI,1/R550-1/R700,R550 R700,估算叶片水平的花青素含量
BGI,R450/R550,R450 R550,估算叶片和冠层水平的叶绿素和叶黄素含量
BRI,R450/R690,R450 R690,估算叶片和冠层水平的叶绿素和叶黄素含量
NDSI(N),(R552-R555)/(R552+R555),R552 R555,
RSI(N),R537/R573,R537 R573,
DSI(N),(R540-R555)/R555,R540 R555,
NDSI(P),(R549-R573)/(R549+R573),R549 R573,
RSI(P),R540/R573,R540 R573,
DSI(P),(R483-R486)/R486,R483 R486,
NDSI(K),(R657-R672)/(R657+R672),R657 R672,
RSI(K),R672/R654,R672 R654,
DSI(K),(R660-R672)/R672,R660 R672,
